"Site","Block","Plot","Year","Subplot","Trt","category","biomass"
"CHY",3,8,2014,2,"con","CAREX",45.8
"CHY",4,12,2014,2,"con","CAREX",47
"CHY",8,23,2014,1,"con","CAREX",58.7
"CHY",10,29,2014,1,"con","CAREX",60.6
"CHY",3,8,2015,2,"con","CAREX",66.1
"CHY",10,29,2014,1,"con","STCO",40.7
"CHY",8,23,2014,1,"con","STCO",41.7
"CHY",5,14,2015,3,"con","STCO",34.4
"CHY",10,29,2017,2,"con","STCO",29.8
"CHY",10,29,2013,3,"con","FORB",113.6
"CHY",8,23,2015,3,"con","FORB",96.9
"CHY",7,21,2015,1,"con","FORB",113.4
"CHY",1,3,2016,2,"con","FORB",101.4
"CHY",8,23,2016,3,"con","FORB",123.2
"CHY",3,8,2017,2,"con","FORB",77
"CHY",1,3,2014,1,"con","WOODY",131.2
"CHY",10,29,2014,2,"con","WOODY",205
"CHY",6,18,2015,3,"con","WOODY",137.6
"CHY",2,5,2015,2,"con","PASM",100.5
"CHY",9,26,2015,3,"con","PASM",100.9
"CHY",5,14,2015,1,"con","PASM",107.2
"CHY",10,29,2015,1,"con","PASM",126.2
"CHY",7,21,2014,1,"con","C3",57.5
"CHY",1,3,2014,1,"con","C3",89.4
"CHY",1,3,2016,1,"con","C3",88.7
"CHY",1,3,2013,1,"con","PYD",189.5
"CHY",10,29,2013,3,"con","PYD",345.4
"CHY",9,26,2016,1,"con","PYD",181.4
"CHY",9,26,2016,2,"con","PYD",183.3
"CHY",6,18,2016,2,"con","PYD",284.2
"CHY",3,8,2017,3,"con","PYD",211.8
"CHY",7,21,2014,1,"con","BOGR",76.4
"CHY",7,21,2014,2,"con","BOGR",83
"CHY",5,14,2014,1,"con","C4",23
"CHY",1,2,2014,3,"chr","STCO",71.8
"CHY",1,2,2015,1,"chr","STCO",65.4
"CHY",1,2,2015,2,"chr","STCO",80.5
"CHY",1,2,2017,3,"chr","STCO",82.2
"CHY",10,30,2014,1,"chr","PASM",109.3
"CHY",10,30,2014,3,"chr","PASM",137.2
"CHY",10,30,2015,2,"chr","PASM",107.1
"CHY",10,30,2015,3,"chr","PASM",109.8
"CHY",5,15,2015,1,"chr","PASM",182.3
"CHY",3,9,2014,1,"chr","FORB",76.4
"CHY",6,17,2014,1,"chr","FORB",82.5
"CHY",1,2,2015,2,"chr","FORB",76.7
"CHY",1,2,2015,3,"chr","FORB",116.1
"CHY",1,2,2016,1,"chr","FORB",76.8
"CHY",7,20,2016,1,"chr","FORB",93.3
"CHY",2,4,2014,2,"chr","C3",66.8
"CHY",3,9,2016,3,"chr","C3",87.3
"CHY",8,22,2014,3,"chr","WOODY",178.3
"CHY",7,20,2015,2,"chr","WOODY",188.2
"CHY",5,15,2016,3,"chr","WOODY",166.8
"CHY",5,15,2016,2,"chr","WOODY",236.4
"CHY",10,30,2013,2,"chr","CAREX",35.3
"CHY",10,30,2014,1,"chr","CAREX",39.3
"CHY",3,9,2014,2,"chr","CAREX",41.8
"CHY",5,15,2015,2,"chr","CAREX",37.8
"CHY",8,22,2015,1,"chr","PYD",229.2
"CHY",3,9,2016,3,"chr","PYD",201.6
"CHY",2,4,2017,2,"chr","PYD",289.8
"CHY",5,15,2017,1,"chr","PYD",292.6
"CHY",7,20,2014,1,"chr","BOGR",68.8
"CHY",9,25,2014,3,"chr","BOGR",73.4
"CHY",1,2,2014,1,"chr","C4",5.6
"CHY",7,19,2014,2,"int","STCO",67.7
"CHY",10,28,2014,2,"int","STCO",73.8
"CHY",1,1,2015,2,"int","STCO",48.1
"CHY",6,16,2016,2,"int","STCO",51.1
