year,drt_year,site,trt,anpp_gm-2,precip_mm
2012,0,CHY,Ambient,60.56,259
2013,0,CHY,Ambient,71.76,462.9
2014,1,CHY,Ambient,172.66,333
2015,2,CHY,Ambient,164.06,355.1
2016,3,CHY,Ambient,112.28,256.8
2017,4,CHY,Ambient,87.59,294.9
2005,hist,CHY,hist,164.4,402.08
2006,hist,CHY,hist,103.65,308.10
2007,hist,CHY,hist,101.99,374.40
2008,hist,CHY,hist,87.83,387.60
2009,hist,CHY,hist,203.00,476.00
2010,hist,CHY,hist,130.61,396.49
2011,hist,CHY,hist,112.4148546,488.95
2012,hist,CHY,hist,68.9830349,231.65
2013,hist,CHY,hist,69.08672,446.63
2014,hist,CHY,hist,172.66,451.36
2015,hist,CHY,hist,164.0567,445.52
2012,0,SBK,con,31.73,
2013,1,SBK,con,99.44,274.10
2014,2,SBK,con,19.59,218.30
2015,3,SBK,con,175.1,263.90
2016,4,SBK,con,58.77,
2017,5,SBK,con,48.86475,
2000,hist,SBK,hist,19.54,267.13
2001,hist,SBK,hist,58.95,223.59
2002,hist,SBK,hist,58.31,221.11
2003,hist,SBK,hist,20.49,159.90
2004,hist,SBK,hist,95.25,297.33
2005,hist,SBK,hist,98.39,244.54
2006,hist,SBK,hist,147,305.11
2007,hist,SBK,hist,188.34,244.49
2008,hist,SBK,hist,210.25,213.42
2009,hist,SBK,hist,166.8,224.48
2010,hist,SBK,hist,85.9,210.37
2011,hist,SBK,hist,19.1,151.58
2012,hist,SBK,hist,33.7,187.00
2013,hist,SBK,hist,243,276.10
2012,0,SBL,con,19.5,
2013,1,SBL,con,44.3,295.70
2014,2,SBL,con,35.5,228.20
2015,3,SBL,con,47.53,328.10
2016,4,SBL,con,39.88,
2017,5,SBL,con,45.1535,
2002,hist,SBL,hist,113,221.11
2003,hist,SBL,hist,16.3,159.90
2004,hist,SBL,hist,145.3,297.33
2005,hist,SBL,hist,63.4,244.54
2006,hist,SBL,hist,97.4,305.11
2007,hist,SBL,hist,101.61,244.49
2008,hist,SBL,hist,46.7,213.42
2009,hist,SBL,hist,36.7,224.48
2010,hist,SBL,hist,51,210.37
2011,hist,SBL,hist,10.5,151.58
2012,hist,SBL,hist,18.6,187.00
2013,hist,SBL,hist,189,276.10
2012,0,SGS,Ambient,37.57,217.2
2013,0,SGS,Ambient,82.52,357.8
2014,1,SGS,Ambient,180.04,293.2
2015,2,SGS,Ambient,154.15,368.6
2016,3,SGS,Ambient,92.38,204.2
2017,4,SGS,Ambient,109.49,291.5
1984,hist,SGS,hist,108.12,480.57
1985,hist,SGS,hist,128.82,308.10
1986,hist,SGS,hist,79.39,260.60
1987,hist,SGS,hist,62.52,442.98
1988,hist,SGS,hist,90.97,278.38
1989,hist,SGS,hist,81.98,366.27
1990,hist,SGS,hist,109.77,398.02
1992,hist,SGS,hist,170.40,402.84
1993,hist,SGS,hist,71.21,430.78
1994,hist,SGS,hist,80.27,304.29
1995,hist,SGS,hist,89.56,471.17
1999,hist,SGS,hist,132.14,557.28
2000,hist,SGS,hist,52.70,311.15
2001,hist,SGS,hist,80.08,355.85
2002,hist,SGS,hist,17.79,242.82
2003,hist,SGS,hist,77.52,322.33
2004,hist,SGS,hist,62.15,293.37
2005,hist,SGS,hist,92.37,370.08
2006,hist,SGS,hist,30.17,300.74
2007,hist,SGS,hist,76.75,350.01
2008,hist,SGS,hist,64.99,330.71
2009,hist,SGS,hist,157.09,436.63
2010,hist,SGS,hist,84.39,360.68
2011,hist,SGS,hist,104.79,356.36
2012,hist,SGS,hist,42.08,189.99
2013,hist,SGS,hist,125.4811,362.46
2014,hist,SGS,hist,180.04,387.10
2015,hist,SGS,hist,154.15,404.62
